caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfaction,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,appearance_level,stress
5,3,2,1,6,0,7,3,2,6,3,2,6,1,10,10,5,10,Not very stressful
8,2,3,1,1,2,4,3,3,3,3,2,6,1,10,7,6,9,A bit stressful
15,96,2,1,2,0,2,2,3,1,3,1,6,2,10,9,10,9,A bit stressful
18,96,5,2,1,0,6,3,2,7,6,6,6,2,10,10,10,8,Not very stressful
19,96,4,2,2,1,2,3,3,1,3,2,6,2,10,8,7,10,A bit stressful
21,4,5,1,5,0,7,3,2,7,4,1,6,2,10,8,10,5,Not very stressful
22,2,7,1,1,0,6,3,4,2,6,6,6,1,0,0,10,3,Quite A bit stressful
28,96,3,1,2,0,5,3,4,1,3,5,6,2,10,5,10,3,Quite A bit stressful
45,96,1,1,6,0,7,3,4,6,6,6,6,2,10,8,6,10,Quite A bit stressful
47,96,6,1,1,0,5,3,2,7,3,6,6,2,10,8,10,5,Not very stressful
48,96,5,1,1,0,6,3,4,2,6,6,6,1,1,1,7,1,Quite A bit stressful
54,96,7,2,1,0,3,3,2,7,6,6,6,1,10,10,10,99,Not very stressful
59,5,5,2,1,0,6,3,3,3,3,2,6,1,10,10,10,10,A bit stressful
67,96,5,1,1,0,6,3,3,7,3,1,6,2,10,5,3,8,A bit stressful
76,96,5,2,5,1,5,2,2,2,3,6,6,2,10,10,10,10,Not very stressful
94,96,6,2,1,0,4,3,3,2,1,2,6,1,10,7,9,4,A bit stressful
101,96,5,1,1,0,2,3,2,3,3,2,6,2,10,10,10,10,Not very stressful
103,1,3,2,1,2,7,3,3,5,3,1,6,2,10,8,9,7,A bit stressful
106,2,6,2,1,0,7,3,3,6,6,6,6,1,10,7,10,7,A bit stressful
107,96,5,2,1,0,5,3,4,1,4,1,6,2,10,8,10,8,Quite A bit stressful
110,96,5,2,3,0,6,3,2,7,6,6,6,1,10,8,10,6,Not very stressful
112,96,5,2,1,0,3,3,2,1,4,6,6,2,10,9,10,9,Not very stressful
117,96,6,2,1,0,6,3,2,7,6,6,6,1,10,9,10,10,Not very stressful
131,1,6,1,2,0,5,3,2,3,2,2,6,2,10,10,10,9,Not very stressful
138,96,5,2,1,0,1,3,2,3,3,6,6,2,10,10,10,10,Not very stressful
146,96,5,2,1,0,3,3,2,6,6,6,6,2,10,8,8,8,Not very stressful
148,96,6,2,1,0,6,1,2,6,6,6,6,1,10,8,10,9,Not very stressful
161,96,2,2,1,2,5,3,4,5,6,6,6,2,10,9,10,10,Quite A bit stressful
164,96,2,1,1,0,5,1,4,1,3,3,6,2,10,7,7,7,Quite A bit stressful
165,96,1,2,6,0,5,3,2,2,2,3,6,2,10,8,10,9,Not very stressful
172,1,7,2,3,0,6,3,3,6,6,6,6,1,10,5,10,10,A bit stressful
195,2,1,1,6,1,7,3,4,4,6,6,6,2,10,5,7,10,Quite A bit stressful
199,96,1,2,6,1,7,3,3,4,6,6,6,2,10,10,10,9,A bit stressful
226,96,7,2,1,0,1,3,4,3,6,6,6,1,10,8,5,8,Quite A bit stressful
237,96,5,2,1,0,3,3,2,3,3,2,6,2,10,10,10,9,Not very stressful
242,96,7,1,6,0,7,3,2,6,6,6,6,2,10,6,6,8,Not very stressful
249,96,4,2,2,0,6,3,3,7,3,6,6,2,10,8,10,10,A bit stressful
252,96,6,1,1,0,1,3,2,6,6,6,6,2,10,8,9,8,Not very stressful
257,96,4,2,1,3,4,3,3,3,3,2,6,2,10,10,10,10,A bit stressful
270,96,4,1,5,0,3,1,2,1,3,2,6,1,10,10,9,10,Not very stressful
274,96,6,1,1,0,2,3,2,3,6,6,6,2,10,8,8,8,Not very stressful
279,96,6,1,1,0,4,3,2,7,3,9,6,1,10,9,10,7,Not very stressful
280,96,4,2,6,0,7,3,5,1,3,3,6,2,10,6,6,6,Extremely stressful
285,96,6,2,1,0,4,3,2,5,6,6,6,1,10,8,10,8,Not very stressful
295,96,2,2,2,3,7,3,3,3,6,6,6,2,10,10,10,10,A bit stressful
297,96,1,2,6,0,5,3,4,4,1,6,6,2,10,8,9,7,Quite A bit stressful
309,96,5,1,1,0,1,3,3,1,3,1,6,2,10,8,7,9,A bit stressful
319,96,5,2,1,0,3,3,3,1,3,6,6,2,10,10,10,8,A bit stressful
322,96,5,2,1,0,2,3,2,3,3,1,6,2,10,8,9,4,Not very stressful
324,3,2,1,1,2,7,3,2,7,6,6,6,2,10,10,10,10,Not very stressful
328,96,2,1,1,1,5,3,2,5,3,1,6,2,10,8,8,8,Not very stressful
336,96,3,1,2,0,1,1,3,2,1,6,2,2,10,3,7,10,A bit stressful
340,96,4,2,6,0,6,3,3,1,4,1,6,2,10,9,9,8,A bit stressful
342,96,5,2,1,0,2,3,2,3,1,6,6,1,10,10,9,9,Not very stressful
348,96,1,2,6,0,4,3,3,4,3,1,6,2,10,10,9,8,A bit stressful
357,96,6,1,1,0,2,3,2,5,6,6,6,2,10,5,7,7,Not very stressful
361,96,2,1,6,0,5,3,4,1,4,1,6,2,10,8,9,8,Quite A bit stressful
362,96,5,2,1,0,7,3,2,5,6,6,6,2,10,8,9,7,Not very stressful
365,96,5,1,1,0,5,3,2,5,6,6,6,2,10,9,10,10,Not very stressful
371,96,4,2,1,0,6,3,3,3,4,2,6,2,10,9,8,7,A bit stressful
376,96,5,2,1,0,6,3,2,6,6,6,6,1,10,4,10,6,Not very stressful
382,96,4,1,2,0,3,3,2,2,3,1,6,2,10,8,8,10,Not very stressful
385,96,3,2,6,0,6,3,3,1,2,2,6,1,10,10,5,8,A bit stressful
387,96,1,2,6,0,3,3,2,1,3,1,6,2,10,10,10,10,Not very stressful
390,2,6,2,3,0,7,3,2,2,4,6,1,2,10,10,10,10,Not very stressful
406,96,4,1,1,1,3,3,4,1,4,2,6,2,10,8,8,10,Quite A bit stressful
408,96,4,2,1,0,4,2,3,1,3,2,6,2,10,8,8,8,A bit stressful
429,96,3,1,6,0,5,3,2,2,3,1,6,1,10,9,10,7,Not very stressful
452,3,6,2,1,0,7,3,2,6,6,6,6,1,10,5,10,10,Not very stressful
463,96,7,1,1,0,1,3,2,3,6,6,6,2,10,7,9,10,Not very stressful
464,5,3,2,1,3,7,3,3,2,6,6,6,1,10,9,6,7,A bit stressful
465,96,6,2,1,0,6,3,4,6,6,6,6,1,10,5,10,10,Quite A bit stressful
469,96,3,2,6,0,4,3,4,1,4,2,1,2,10,7,8,7,Quite A bit stressful
471,96,6,2,1,0,4,3,2,6,6,6,6,1,10,8,8,5,Not very stressful
473,96,4,1,5,0,5,1,3,1,4,6,6,2,10,10,5,10,A bit stressful
488,96,1,1,6,0,2,3,3,4,2,2,6,2,10,7,10,8,A bit stressful
490,96,5,2,1,0,7,3,2,3,1,6,6,2,10,9,6,4,Not very stressful
493,96,5,2,1,0,5,3,3,1,3,6,6,1,10,9,9,8,A bit stressful
502,96,5,1,1,0,2,3,4,5,4,1,6,2,10,9,7,7,Quite A bit stressful
505,96,2,2,6,0,7,1,3,6,6,6,6,2,10,8,10,10,A bit stressful
509,96,2,1,4,1,5,1,5,2,4,6,6,2,10,10,9,10,Extremely stressful
511,96,5,2,1,0,5,3,2,6,6,6,6,2,10,5,9,5,Not very stressful
514,96,5,2,1,0,4,3,4,5,4,6,3,7,10,0,5,5,Quite A bit stressful
517,96,4,2,1,0,7,3,3,7,3,1,6,2,10,8,7,8,A bit stressful
518,96,1,2,6,0,5,3,4,4,6,6,6,1,10,7,8,5,Quite A bit stressful
521,96,6,1,2,0,3,3,2,7,6,6,6,2,10,10,10,10,Not very stressful
527,96,1,1,6,0,1,2,3,4,2,6,6,2,10,8,8,9,A bit stressful
532,96,7,1,3,0,1,3,2,3,1,6,6,2,10,8,10,7,Not very stressful
537,96,4,1,1,0,5,3,2,3,4,6,6,2,10,8,10,7,Not very stressful
543,96,3,2,1,2,6,3,3,3,1,1,6,2,10,8,10,9,A bit stressful
546,96,4,1,1,0,2,3,4,1,3,1,6,2,10,9,7,7,Quite A bit stressful
582,96,3,1,1,1,1,1,2,1,4,1,6,1,10,10,10,10,Not very stressful
586,96,4,2,1,2,5,3,2,5,3,6,6,2,10,9,10,10,Not very stressful
589,96,5,1,3,0,7,3,3,6,6,6,6,2,10,9,10,10,A bit stressful
598,3,7,1,1,0,7,3,3,2,3,6,2,1,10,5,10,10,A bit stressful
603,96,1,2,6,0,3,3,5,4,3,6,6,2,10,8,8,9,Extremely stressful
622,2,1,2,6,0,6,3,2,4,3,1,6,1,10,10,10,10,Not very stressful
633,96,7,1,5,0,2,3,3,3,6,6,6,2,10,9,8,8,A bit stressful
636,96,5,2,2,0,6,1,2,3,6,6,6,2,10,8,10,9,Not very stressful
637,96,6,1,1,0,1,3,2,3,6,6,6,2,10,8,8,5,Not very stressful
639,96,6,2,1,0,7,3,4,3,6,6,6,1,10,8,10,0,Quite A bit stressful
648,96,4,2,1,0,1,2,2,5,1,6,6,2,10,7,8,7,Not very stressful
656,96,3,1,1,1,6,3,3,1,4,6,6,1,10,7,10,9,A bit stressful
661,96,1,2,6,1,5,3,3,4,1,6,6,2,10,10,10,8,A bit stressful
664,3,3,1,5,0,7,3,3,3,9,6,6,1,10,6,4,9,A bit stressful
668,2,5,2,1,0,6,3,2,6,6,6,6,1,10,8,8,9,Not very stressful
671,4,6,2,1,0,1,3,2,5,6,6,6,2,10,10,10,8,Not very stressful
674,96,2,1,2,2,5,3,3,1,3,2,6,2,10,6,7,3,A bit stressful
679,1,1,2,6,0,5,3,3,5,1,4,6,1,10,10,10,8,A bit stressful
683,96,4,2,3,0,2,1,5,1,3,6,3,2,10,10,5,10,Extremely stressful
691,1,4,2,6,0,6,3,3,7,6,6,6,1,0,6,0,2,A bit stressful
695,96,5,2,2,0,2,3,3,3,3,2,6,2,10,7,7,5,A bit stressful
710,96,4,2,1,0,5,3,2,2,2,2,6,2,10,5,9,4,Not very stressful
714,1,6,1,1,0,4,3,3,7,9,6,6,2,10,10,10,9,A bit stressful
725,3,2,2,1,2,7,3,3,3,6,6,6,2,10,10,10,8,A bit stressful
738,96,5,2,6,0,6,2,5,1,4,4,6,1,0,10,10,10,Extremely stressful
740,96,6,1,2,0,7,3,3,2,6,6,6,1,10,5,10,10,A bit stressful
750,96,5,1,1,0,6,3,3,1,4,6,6,2,10,7,9,7,A bit stressful
751,96,2,2,6,1,7,3,4,2,3,2,6,2,10,8,10,8,Quite A bit stressful
755,96,4,2,2,0,7,3,3,6,1,6,6,1,10,6,10,7,A bit stressful
759,96,2,1,6,0,4,3,3,1,3,2,6,1,10,9,7,7,A bit stressful
779,3,3,2,1,0,6,3,3,5,6,6,6,1,10,8,10,10,A bit stressful
781,96,3,1,1,3,2,3,4,5,3,1,6,1,10,9,7,10,Quite A bit stressful
783,96,7,1,1,0,5,3,2,7,6,6,6,2,10,10,10,10,Not very stressful
784,3,4,2,5,1,7,3,3,5,3,1,1,2,10,8,8,10,A bit stressful
795,96,1,2,6,1,7,3,3,4,1,6,6,2,10,10,10,6,A bit stressful
799,96,5,1,1,0,6,3,4,3,1,6,6,2,10,8,7,7,Quite A bit stressful
812,96,5,2,1,0,2,3,3,5,6,6,6,2,10,9,9,8,A bit stressful
820,96,1,2,6,3,7,3,3,4,6,6,6,2,10,10,10,7,A bit stressful
821,3,3,2,1,0,7,3,2,7,1,1,6,1,10,10,10,10,Not very stressful
831,96,6,1,1,0,5,3,3,1,3,6,6,2,10,10,10,8,A bit stressful
832,4,6,1,4,0,3,3,3,3,2,2,6,1,10,10,10,10,A bit stressful
845,5,4,1,1,1,7,3,4,7,1,6,6,2,10,7,9,0,Quite A bit stressful
868,96,4,2,1,0,1,3,3,7,6,6,6,2,10,9,8,9,A bit stressful
870,96,4,2,2,0,4,3,2,1,3,1,6,2,10,10,10,10,Not very stressful
901,96,3,2,1,0,4,1,3,1,3,2,1,2,10,10,10,10,A bit stressful
904,5,4,2,1,1,5,3,3,1,4,1,6,2,10,8,8,8,A bit stressful
908,96,2,1,2,0,2,3,4,1,3,2,6,2,10,10,10,8,Quite A bit stressful
911,96,2,2,6,2,7,3,2,5,6,6,6,2,10,6,10,6,Not very stressful
925,96,5,1,6,0,7,3,3,2,3,1,6,2,10,7,7,8,A bit stressful
929,96,7,1,6,0,2,3,2,7,6,6,6,2,10,7,3,7,Not very stressful
938,96,4,2,1,0,2,3,3,5,3,1,6,2,10,10,10,6,A bit stressful
940,96,6,1,5,0,2,1,3,2,1,6,6,2,1,5,9,7,A bit stressful
943,96,6,1,1,0,1,3,3,6,6,6,6,1,10,2,10,3,A bit stressful
946,96,5,1,1,0,3,3,2,1,4,2,6,2,10,8,9,10,Not very stressful
951,96,1,2,6,0,2,3,2,5,3,1,6,2,10,7,10,7,Not very stressful
954,96,5,2,2,0,5,3,4,7,3,2,6,2,10,4,7,7,Quite A bit stressful
963,96,6,2,1,0,5,3,3,3,6,6,6,2,10,10,10,8,A bit stressful
964,96,5,1,1,0,6,3,3,2,6,6,6,2,10,0,10,0,A bit stressful
980,96,5,2,1,0,5,3,3,5,2,2,6,2,10,10,10,0,A bit stressful
982,96,1,1,2,0,3,3,4,7,3,5,6,2,1,6,8,7,Quite A bit stressful
986,96,4,1,1,0,5,3,3,5,4,6,6,1,10,10,10,10,A bit stressful
989,96,6,2,6,0,5,3,2,7,1,6,6,2,10,7,9,7,Not very stressful
998,96,7,2,1,0,4,3,4,3,6,6,6,1,10,8,9,8,Quite A bit stressful
1000,96,7,1,1,0,6,3,4,7,6,6,6,1,10,8,7,10,Quite A bit stressful
1004,96,2,2,5,3,5,3,2,3,3,1,6,2,10,10,10,10,Not very stressful
1009,96,2,1,1,1,4,3,4,5,4,6,6,2,10,8,6,8,Quite A bit stressful
1010,96,2,2,6,0,3,3,3,2,3,6,6,1,10,10,10,7,A bit stressful
1025,96,2,1,1,3,5,1,2,2,3,1,6,2,10,10,10,10,Not very stressful
1027,96,4,1,1,0,3,3,2,3,4,1,6,2,10,8,7,7,Not very stressful
1040,96,5,2,5,0,6,2,3,2,6,6,6,1,0,1,4,10,A bit stressful
1043,96,6,1,1,0,1,1,2,7,6,6,6,2,10,7,10,10,Not very stressful
1057,96,4,2,2,1,4,2,4,1,4,3,6,2,10,6,3,3,Quite A bit stressful
1063,96,4,2,1,0,5,3,2,1,2,6,4,2,10,8,9,9,Not very stressful
1075,4,4,2,1,0,6,1,5,1,3,1,3,2,0,0,10,7,Extremely stressful
1093,96,6,1,1,0,1,3,3,7,6,6,6,2,10,9,10,10,A bit stressful
1103,96,5,1,1,0,5,3,3,1,4,2,6,2,10,10,10,10,A bit stressful
1106,96,5,1,6,0,7,3,3,5,3,6,6,2,10,8,8,8,A bit stressful
1108,96,7,2,3,0,1,3,2,3,6,6,6,2,10,8,8,7,Not very stressful
1122,96,7,2,3,0,5,3,3,7,6,6,6,1,10,8,10,10,A bit stressful
1125,96,1,2,6,0,5,3,4,2,3,1,6,1,10,6,7,4,Quite A bit stressful
1127,96,5,2,1,0,3,3,2,3,6,6,6,2,10,7,10,7,Not very stressful
1131,96,2,2,6,0,5,1,3,1,4,1,6,2,10,10,10,8,A bit stressful
1143,96,1,1,6,1,5,3,2,4,2,6,6,2,10,10,10,9,Not very stressful
1146,96,5,1,1,0,2,3,2,3,6,6,6,2,10,7,8,6,Not very stressful
1163,96,2,2,2,0,2,3,2,1,3,6,2,2,10,8,10,8,Not very stressful
1187,96,7,2,5,0,3,3,2,2,6,6,6,2,10,8,5,5,Not very stressful
1213,96,2,1,2,0,3,3,3,1,3,2,6,2,10,9,10,9,A bit stressful
1216,96,4,1,1,3,2,3,4,5,4,1,6,2,10,9,8,9,Quite A bit stressful
1226,96,2,2,1,0,4,3,3,1,3,2,2,2,10,9,10,8,A bit stressful
1238,96,4,2,2,0,5,3,2,7,1,6,6,2,10,10,8,10,Not very stressful
1253,96,5,2,1,0,5,3,2,3,6,6,6,2,10,8,10,8,Not very stressful
1260,96,5,2,6,0,7,3,3,6,6,6,6,1,10,6,8,7,A bit stressful
1261,96,5,2,1,0,5,3,4,2,6,6,6,1,0,4,6,5,Quite A bit stressful
1262,3,6,2,3,0,5,3,2,7,6,6,6,1,10,10,10,10,Not very stressful
1273,96,4,2,1,1,6,3,2,5,3,1,6,2,10,7,9,7,Not very stressful
1278,96,4,1,1,0,2,3,3,1,3,1,6,2,10,10,10,10,A bit stressful
1282,96,3,1,1,2,3,3,2,7,4,6,6,2,10,8,8,10,Not very stressful
1309,96,7,2,5,0,4,3,2,7,6,6,6,2,10,9,10,9,Not very stressful
1312,96,5,2,1,0,3,2,2,5,2,2,6,2,10,8,8,7,Not very stressful
1320,96,5,2,6,0,1,3,3,1,3,1,6,2,10,10,4,4,A bit stressful
1331,96,1,1,2,1,4,1,3,7,6,6,6,2,10,7,10,10,A bit stressful
1332,96,1,1,6,1,7,3,3,4,3,6,6,2,10,9,9,9,A bit stressful
1342,96,4,2,1,0,4,3,5,1,3,3,6,2,10,10,10,10,Extremely stressful
1343,96,2,2,1,3,6,3,3,5,4,6,6,2,10,8,8,4,A bit stressful
1349,96,1,2,6,0,5,3,2,2,3,1,6,2,10,8,10,7,Not very stressful
1363,96,1,2,6,0,7,3,4,4,6,6,6,2,10,10,8,7,Quite A bit stressful
1367,96,7,2,3,0,7,3,3,6,6,6,6,1,10,4,8,3,A bit stressful
1369,1,1,2,6,1,5,3,4,4,1,2,6,1,10,6,5,6,Quite A bit stressful
1382,96,5,1,1,0,5,3,3,1,3,1,6,2,10,9,10,6,A bit stressful
1384,96,5,1,1,0,4,3,3,1,4,1,6,2,10,9,10,8,A bit stressful
1388,96,6,1,5,0,1,3,2,5,6,6,6,1,10,6,9,9,Not very stressful
1389,96,5,2,6,0,1,3,2,3,3,6,1,2,10,7,6,6,Not very stressful
1392,96,6,1,3,0,3,2,2,3,6,6,6,2,10,8,9,6,Not very stressful
1401,96,4,1,1,0,2,3,2,1,3,1,6,2,10,10,10,10,Not very stressful
1403,4,2,2,1,2,6,3,2,2,6,6,6,2,10,8,9,7,Not very stressful
1407,96,1,1,6,0,5,3,4,2,1,2,6,2,10,10,10,10,Quite A bit stressful
1419,96,1,2,6,0,3,1,3,3,2,3,6,2,10,6,4,4,A bit stressful
1421,96,7,1,1,0,3,3,2,2,6,6,6,1,10,10,10,10,Not very stressful
1423,96,3,2,6,0,7,1,4,3,3,2,6,2,10,6,10,5,Quite A bit stressful
1425,99,3,2,1,0,5,3,4,5,3,1,6,1,10,8,9,5,Quite A bit stressful
1438,96,5,1,1,0,6,3,3,7,4,6,6,2,10,10,10,8,A bit stressful
1442,96,2,2,1,2,3,1,5,2,3,4,6,1,0,5,2,0,Extremely stressful
1444,96,2,1,6,0,2,3,4,1,3,1,6,2,10,10,7,8,Quite A bit stressful
1445,96,5,1,1,0,2,3,2,7,4,6,6,2,10,8,10,8,Not very stressful
1447,96,4,1,6,0,7,3,2,2,6,6,6,1,10,10,8,10,Not very stressful
1457,96,3,2,2,0,5,3,3,5,4,2,6,2,10,10,8,8,A bit stressful
1460,96,3,1,1,3,3,2,3,1,4,6,6,2,10,8,6,8,A bit stressful
1469,96,6,1,1,0,2,3,3,6,6,6,6,1,10,3,10,7,A bit stressful
1477,96,5,1,1,0,2,1,2,5,3,6,6,1,10,8,10,9,Not very stressful
1481,96,3,1,2,0,5,3,3,1,3,1,6,2,10,8,10,8,A bit stressful
1486,96,2,2,6,0,6,3,4,4,1,6,6,2,10,8,10,5,Quite A bit stressful
1496,96,7,2,3,0,3,3,2,5,6,6,6,2,10,10,10,8,Not very stressful
1504,96,5,1,5,0,5,3,2,2,2,6,6,2,10,3,10,5,Not very stressful
1506,3,3,1,1,3,5,3,2,5,3,2,6,2,10,8,10,10,Not very stressful
1507,6,5,1,1,1,6,1,3,1,3,3,6,1,10,10,10,10,A bit stressful
1523,96,4,2,2,1,5,3,4,1,4,2,6,1,10,7,9,6,Quite A bit stressful
1529,96,1,1,6,0,7,3,3,4,6,6,6,2,10,10,9,9,A bit stressful
1530,96,5,1,5,0,6,1,2,7,3,1,6,1,10,7,3,7,Not very stressful
1550,96,3,1,1,3,5,3,4,5,4,1,6,2,10,7,10,7,Quite A bit stressful
1554,96,7,2,3,0,5,3,3,6,6,6,6,1,10,10,10,10,A bit stressful
1555,96,5,2,1,0,6,3,5,6,1,6,6,2,10,0,5,0,Extremely stressful
1559,96,3,1,6,0,7,2,3,7,4,2,6,2,10,7,9,9,A bit stressful
1561,96,7,2,3,0,6,3,2,2,6,6,6,1,10,8,10,8,Not very stressful
1566,96,5,1,1,0,3,3,3,1,3,6,6,2,10,8,8,8,A bit stressful
1570,96,5,2,1,0,5,3,3,5,3,2,6,2,10,7,6,7,A bit stressful
1571,96,4,1,6,0,1,1,5,1,4,6,6,2,10,7,10,7,Extremely stressful
1582,96,2,1,2,3,2,1,3,1,4,1,6,2,10,10,10,8,A bit stressful
1599,96,3,2,1,3,5,3,3,3,6,6,6,2,10,6,7,6,A bit stressful
1623,96,4,1,1,0,3,3,3,6,3,2,6,2,10,7,10,7,A bit stressful
1630,96,5,1,1,0,6,3,3,3,6,6,6,1,10,10,10,10,A bit stressful
1631,96,5,2,3,0,3,3,3,3,6,6,6,2,10,6,10,1,A bit stressful
1632,96,5,2,1,0,3,3,3,3,4,2,6,2,10,10,8,8,A bit stressful
1633,96,1,1,6,0,4,3,3,1,3,1,6,2,10,10,10,10,A bit stressful
1634,96,4,2,1,0,5,3,3,2,3,2,6,2,10,8,8,5,A bit stressful
1636,96,7,2,5,0,6,2,2,3,6,6,6,1,10,9,10,10,Not very stressful
1640,96,4,2,1,0,4,1,2,2,3,2,6,2,10,10,10,10,Not very stressful
1644,96,1,1,6,1,7,3,2,4,6,6,6,2,10,7,10,6,Not very stressful
1651,96,3,1,6,0,7,2,3,2,3,3,6,1,10,10,10,10,A bit stressful
1653,96,6,1,6,0,5,3,2,1,3,1,6,2,10,9,7,9,Not very stressful
1666,96,3,1,6,0,3,3,2,5,2,6,6,2,10,10,10,9,Not very stressful
1670,96,3,1,6,0,3,2,3,1,3,6,6,2,10,9,5,10,A bit stressful
1673,96,5,1,5,0,4,1,3,6,3,6,6,1,10,6,9,5,A bit stressful
1688,96,3,1,1,2,3,3,3,1,4,6,6,2,10,10,7,10,A bit stressful
1698,96,3,2,1,3,7,3,4,5,2,1,6,2,10,8,8,3,Quite A bit stressful
1700,1,1,1,1,1,7,3,3,4,6,6,6,2,10,10,9,10,A bit stressful
1701,96,6,1,6,0,3,3,2,3,6,6,6,2,10,5,7,8,Not very stressful
1702,96,4,1,1,0,2,3,2,1,3,2,6,2,10,8,8,8,Not very stressful
1711,96,1,2,6,0,6,3,4,4,3,6,6,2,10,10,8,5,Quite A bit stressful
1718,96,3,1,1,3,2,3,4,5,4,6,6,2,10,8,10,8,Quite A bit stressful
1719,96,2,2,6,0,6,3,3,1,3,6,6,1,10,8,8,9,A bit stressful
1731,96,6,2,1,0,4,3,2,3,6,6,6,1,10,7,8,7,Not very stressful
1756,96,5,2,6,0,3,3,2,3,6,6,6,1,10,7,8,1,Not very stressful
1772,96,7,1,1,0,7,3,3,3,6,6,6,2,1,7,8,9,A bit stressful
1777,96,2,2,6,0,7,3,2,7,3,1,6,2,10,10,10,10,Not very stressful
1778,96,4,1,1,2,4,3,3,6,6,6,6,2,10,6,8,7,A bit stressful
1781,96,6,2,1,0,5,3,2,5,6,6,6,2,10,8,10,9,Not very stressful
1788,96,1,2,1,1,6,3,4,4,2,2,6,2,10,8,8,9,Quite A bit stressful
1797,96,7,2,6,0,7,3,2,5,1,6,6,1,10,9,10,10,Not very stressful
1807,96,4,2,1,0,5,1,3,5,3,1,6,2,10,10,10,10,A bit stressful
1812,3,7,2,3,0,5,3,3,7,6,6,6,1,10,5,10,5,A bit stressful
1813,96,2,2,1,1,3,3,3,1,4,1,6,2,10,9,9,7,A bit stressful
1814,96,4,2,1,0,5,3,3,5,3,1,6,1,10,8,8,8,A bit stressful
1818,96,7,1,1,0,1,3,2,6,6,6,6,2,10,8,10,7,Not very stressful
1823,96,6,2,1,0,4,3,2,3,6,6,6,2,10,10,10,9,Not very stressful
1852,96,2,2,6,0,7,3,4,2,3,5,6,2,10,7,4,4,Quite A bit stressful
1857,96,6,1,1,0,3,3,3,1,2,6,6,2,10,10,10,5,A bit stressful
1858,96,1,1,6,1,7,3,4,4,2,2,6,2,10,7,10,5,Quite A bit stressful
1876,96,6,2,1,0,7,3,3,6,3,6,6,2,10,8,10,8,A bit stressful
1900,96,3,1,1,2,5,3,3,5,6,6,6,2,10,9,8,10,A bit stressful
1904,4,5,2,1,0,7,3,2,5,2,1,6,1,10,9,10,7,Not very stressful
1906,2,7,1,1,0,1,3,2,6,6,6,6,1,10,8,10,8,Not very stressful
1921,96,4,1,1,1,5,3,3,4,3,6,1,1,10,10,8,10,A bit stressful
1925,3,4,2,1,1,7,3,2,5,1,2,6,2,10,10,9,9,Not very stressful
1929,96,5,2,3,0,7,3,2,7,4,6,6,2,10,10,10,8,Not very stressful
1938,96,6,2,3,0,1,3,3,3,6,6,6,2,10,9,10,9,A bit stressful
1942,96,6,2,1,0,7,3,3,3,6,6,6,1,10,8,10,8,A bit stressful
1947,96,7,2,1,0,5,3,2,6,1,6,6,1,10,5,10,6,Not very stressful
1949,96,5,1,1,0,7,1,3,2,3,6,6,2,10,10,10,8,A bit stressful
1954,96,5,1,1,0,3,3,3,5,2,6,6,2,10,9,10,9,A bit stressful
1955,96,2,2,1,0,4,3,3,1,3,1,6,2,10,8,8,7,A bit stressful
1965,96,5,2,1,0,5,3,2,3,2,2,6,2,10,9,10,8,Not very stressful
1971,96,6,2,3,0,2,3,3,3,6,6,6,2,10,9,9,8,A bit stressful
1973,96,4,2,2,0,6,3,2,2,6,6,6,2,10,10,10,9,Not very stressful
2001,4,3,1,1,3,3,3,4,1,4,2,6,2,10,9,10,6,Quite A bit stressful
2005,3,5,2,1,0,6,3,3,1,3,2,3,1,10,8,10,10,A bit stressful
2010,96,5,2,1,0,4,3,2,1,3,1,6,2,10,8,7,5,Not very stressful
2011,4,7,2,1,0,7,3,2,3,6,6,6,2,10,10,8,10,Not very stressful
2014,96,2,1,1,0,2,3,2,5,4,1,6,2,10,10,8,10,Not very stressful
2015,96,4,1,6,0,6,3,5,2,4,2,6,1,0,10,10,10,Extremely stressful
2018,96,5,2,5,0,7,1,5,1,1,6,6,2,10,5,8,10,Extremely stressful
2020,4,4,2,1,2,3,3,3,1,3,2,2,2,10,7,7,8,A bit stressful
2027,96,6,2,1,0,6,3,2,6,6,6,6,2,10,3,10,7,Not very stressful
2047,96,5,1,2,0,3,3,3,1,4,4,6,2,10,9,7,7,A bit stressful
2061,2,1,2,6,2,7,3,4,4,1,6,6,2,10,8,9,7,Quite A bit stressful
2068,96,6,2,1,0,6,3,2,3,6,6,6,2,10,10,8,6,Not very stressful
2069,96,2,2,1,0,7,1,2,2,3,1,2,2,10,8,10,10,Not very stressful
2073,96,7,2,3,0,5,3,2,3,6,6,6,1,10,8,10,10,Not very stressful
2074,96,4,2,1,0,7,3,3,3,6,6,6,2,10,4,6,5,A bit stressful
2084,96,3,2,1,0,7,3,3,1,3,1,6,2,10,10,8,9,A bit stressful
2093,96,1,2,6,0,4,3,4,4,2,2,6,2,10,10,10,10,Quite A bit stressful
2094,96,5,2,2,0,1,3,3,5,3,1,6,2,10,10,9,9,A bit stressful
2102,96,5,1,1,0,5,3,4,1,4,1,6,2,10,10,10,10,Quite A bit stressful
2125,96,5,1,1,0,2,3,3,2,2,6,6,1,10,8,10,10,A bit stressful
2126,96,1,1,6,0,5,3,2,4,1,6,6,2,10,10,10,8,Not very stressful
