caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfaction,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,appearance_level,stress
17509,3,2,1,1,2,5,2,3,2,3,1,2,2,10,10,10,9,A bit stressful
17512,96,6,1,1,0,4,3,3,1,4,6,6,1,10,9,10,10,A bit stressful
17513,96,6,2,3,0,2,3,2,3,6,6,6,1,10,8,10,9,Not very stressful
17523,96,5,1,6,0,7,3,4,6,6,6,6,1,0,0,2,0,Quite A bit stressful
17524,96,6,1,1,0,4,3,2,2,4,2,6,2,10,10,10,10,Not very stressful
17532,2,6,1,1,0,7,3,3,1,2,6,6,2,10,8,8,8,A bit stressful
17579,1,1,2,6,0,5,3,4,4,3,2,6,2,10,7,6,5,Quite A bit stressful
17581,96,1,1,6,0,5,3,3,4,4,6,6,2,10,10,7,8,A bit stressful
17582,96,2,2,1,1,5,3,3,1,3,2,6,2,10,10,10,7,A bit stressful
17585,96,1,2,6,0,3,3,4,4,3,6,6,2,10,8,10,8,Quite A bit stressful
17588,96,7,2,3,0,5,3,3,2,6,6,6,1,10,10,10,9,A bit stressful
17608,96,1,2,6,0,6,3,3,4,1,2,2,2,10,10,6,3,A bit stressful
17629,96,1,2,6,0,5,3,3,4,3,6,6,2,10,7,10,7,A bit stressful
17630,96,6,1,1,0,7,3,2,6,4,6,6,1,10,0,9,10,Not very stressful
17632,2,3,2,1,1,2,3,4,5,3,3,6,2,10,10,10,4,Quite A bit stressful
17633,96,5,2,2,0,3,3,3,3,1,6,6,2,10,9,7,4,A bit stressful
17634,2,2,1,1,0,3,3,3,1,3,1,6,2,10,10,10,10,A bit stressful
17637,96,3,2,1,3,5,3,3,3,6,6,6,1,10,8,8,2,A bit stressful
17642,96,2,1,1,0,6,3,3,5,4,1,6,2,10,6,8,7,A bit stressful
17655,96,4,2,1,0,5,3,3,3,4,6,4,2,10,5,10,5,A bit stressful
17671,96,2,1,1,1,3,3,2,5,4,1,6,2,10,5,10,7,Not very stressful
17679,96,5,1,1,0,3,3,3,6,6,6,6,2,10,5,5,9,A bit stressful
17694,96,4,2,1,0,7,3,3,1,3,2,6,2,10,7,10,7,A bit stressful
17705,96,4,2,5,1,5,3,4,2,3,4,6,2,1,8,4,8,Quite A bit stressful
17706,96,2,2,6,0,4,3,3,2,3,1,6,2,10,10,9,7,A bit stressful
17719,96,2,1,1,3,6,1,2,5,3,2,6,2,10,8,9,8,Not very stressful
17720,96,1,1,6,0,5,3,3,1,2,2,6,2,10,7,8,8,A bit stressful
17723,96,6,2,6,0,7,3,3,1,3,1,6,1,10,8,8,8,A bit stressful
17724,3,2,2,1,0,7,3,3,4,6,6,6,2,10,10,10,9,A bit stressful
17727,2,4,1,1,0,2,3,2,7,3,2,6,2,10,10,10,8,Not very stressful
17732,96,7,1,1,0,2,3,2,7,6,6,6,1,10,9,9,9,Not very stressful
17734,96,5,2,3,0,4,3,3,2,3,6,6,2,10,10,10,10,A bit stressful
17739,96,5,2,5,0,6,3,2,6,2,1,6,2,10,9,8,8,Not very stressful
17757,96,3,2,4,1,6,3,3,2,3,1,6,2,10,10,10,5,A bit stressful
17758,96,5,2,1,0,3,3,3,7,2,1,6,1,10,7,10,10,A bit stressful
17761,1,1,1,6,0,7,3,3,5,6,6,6,2,10,10,9,9,A bit stressful
17770,96,1,2,6,1,7,3,3,4,6,6,6,2,10,9,9,10,A bit stressful
17774,96,2,1,2,0,6,1,3,1,4,1,6,2,10,10,10,5,A bit stressful
17809,96,7,2,5,0,6,3,3,3,6,6,6,1,10,8,10,8,A bit stressful
17813,96,5,1,6,0,7,2,3,2,6,6,6,1,0,7,6,8,A bit stressful
17819,96,1,2,6,1,5,3,4,3,1,1,6,2,10,10,0,9,Quite A bit stressful
17821,96,6,1,1,0,4,3,2,7,6,6,6,1,10,10,10,8,Not very stressful
17822,96,2,2,6,0,4,2,2,6,3,1,6,2,10,10,8,8,Not very stressful
17830,96,2,1,6,0,7,3,2,6,4,3,1,2,10,3,10,10,Not very stressful
17835,96,3,1,5,0,6,1,3,1,3,3,6,2,10,5,0,3,A bit stressful
17843,96,4,2,6,0,7,3,4,3,6,6,6,1,10,6,6,6,Quite A bit stressful
17860,96,1,1,6,1,7,3,2,4,3,6,6,2,10,10,9,8,Not very stressful
17864,2,6,1,1,0,5,3,3,3,6,6,6,1,10,9,10,8,A bit stressful
17871,96,6,2,1,0,1,3,2,5,6,6,6,2,10,9,10,7,Not very stressful
17885,96,7,2,3,0,5,3,2,3,6,6,6,1,10,7,8,7,Not very stressful
17888,96,5,2,1,0,7,3,4,7,6,6,6,2,10,9,10,9,Quite A bit stressful
17900,96,4,1,1,1,6,3,3,2,4,1,6,2,10,5,10,5,A bit stressful
17903,96,4,1,1,0,1,3,5,1,4,6,6,2,10,9,10,10,Extremely stressful
17909,96,5,1,1,0,1,3,5,1,4,6,6,2,1,8,10,10,Extremely stressful
17913,1,6,2,1,0,6,3,2,5,2,6,6,1,10,8,8,8,Not very stressful
17921,96,5,1,1,0,2,3,2,1,3,1,6,1,10,9,10,9,Not very stressful
